"Dataset","Model","Approach","NLV","Value_(Intercept)","Value_avg.euc.dist","Value_avg.kas","Value_top.sg.median.kas","Value_top.sg.euc.dist","Value_avg.spearman","Value_top.cosine.sim","Value_kernel.count","Value_CDR3.similarity","Value_full.similarity","Significance_(Intercept)","Significance_avg.euc.dist","Significance_avg.kas","Significance_top.sg.median.kas","Significance_top.sg.euc.dist","Significance_avg.spearman","Significance_top.cosine.sim","Significance_kernel.count","Significance_CDR3.similarity","Significance_full.similarity","Features"
"CDR3","Model 2","Combined","Yes",-0.067662551071163,NA,NA,0.0231419494403426,0.0518705925672856,0.0743620900523783,0.00781433816743781,0.0228049626231066,0.177297309007661,0.275757965803592,4.10936883326797e-13,NA,NA,0.0322680165314718,1.9833268984714e-06,1.17562029128771e-10,0.451757697103486,0.0992756158226983,4.10033756669197e-71,2.88229305139413e-93,7
"CDR3","Model 2","Combined","No",-0.0717292347764714,NA,NA,0.0159073007075396,0.0390811132704854,0.0962082574064438,0.00116781890651678,0.00875533226205216,0.188165257790082,0.314566561914419,8.10861696352205e-11,NA,NA,0.218850606237553,0.00289896836303148,5.59385383741489e-12,0.924495510330185,0.603468201048514,4.8690966149595e-55,7.36058053140133e-83,7
"Full","Model 1","Combined","Yes",-0.0115748522191962,NA,NA,-0.0789804922666319,0.00710181262089852,-0.0251809156948997,-0.0729759954992801,0.135607264093463,0.0644374930911236,0.255304085320955,0.611258869146443,NA,NA,0.00200922260160382,0.791632532100276,0.327799497954704,0.0037428772531208,4.85663051011526e-05,0.00762275839019145,1.33610580669021e-14,7
"Full","Model 1","Combined","No",-0.0126060520691282,NA,NA,-0.0529395509630567,0.00833641881744131,-0.0138798773558128,-0.00650425955118754,0.124730481755845,0.102193903991653,0.250173441417708,0.493133226822382,NA,NA,0.013227115570884,0.702267799351539,0.521286894290897,0.748332004579515,1.09159378931015e-05,3.64229701810533e-07,8.37201035844721e-20,7
"Full","Model 2","Combined","Yes",-0.047167775341982,NA,NA,0.0288913353325561,0.0175715846184299,-0.0203125700188436,0.012194210098362,0.0808787341170863,0.208304996786867,0.17412767069885,6.20085799136451e-07,NA,NA,0.0064983631760312,0.114041441601267,0.0687024234233907,0.245339056321695,3.24058051074758e-09,4.85237761575077e-93,6.16860932052786e-41,7
"Full","Model 2","Combined","No",-0.0540405945345199,NA,NA,0.0235342449127685,0.00410156341657387,-0.0221507479069298,-0.00735508103641484,0.0352981486263767,0.236596048011511,0.236464023605494,1.34611166923638e-06,NA,NA,0.0626978360099244,0.756353429308244,0.0974208665053861,0.551139190501807,0.0314602269355725,3.08652394944334e-83,5.73921640638201e-51,7
"CDR3","Model 1","Combined","Yes",-0.012090370112371,NA,NA,0.0560700210035032,0.0498397095805431,0.168707956234057,NA,0.171030582938723,0.128000590008887,NA,0.464167939299505,NA,NA,0.00460397746706242,0.00930522512932615,3.70742097743813e-16,NA,4.65793302715576e-14,1.84306345716467e-13,NA,5
"CDR3","Model 1","Combined","No",-0.0131706108984054,NA,NA,0.035024219038923,0.0209544539369862,0.170343975152825,NA,0.211654598055363,0.1598828801867,NA,0.581100996172081,NA,NA,0.215763271138534,0.446386692852875,1.06895100037428e-08,NA,1.80617821144839e-10,1.77487510921163e-10,NA,5
"CDR3","Model 2","Combined","Yes",-0.05558003333291,NA,NA,0.0597120310044714,0.0550912335070648,0.10598765069236,NA,0.195124454382384,0.190399823709119,NA,0.013420618308819,NA,NA,0.0172814298637292,0.0313205427394571,5.17888078010859e-05,NA,5.31713266321376e-13,4.69645782821121e-18,NA,5
"CDR3","Model 2","Combined","No",-0.0592808929356058,NA,NA,0.0511901275523266,0.0145781253714178,0.141421781055884,NA,0.178052191050073,0.254389299645858,NA,6.5372251798071e-08,NA,NA,5.21077878220086e-05,0.252863828224583,3.91378594991989e-25,NA,2.89842617610529e-36,4.91002246513199e-112,NA,5
