"Dataset","Approach","Model","NLV","Feature","accuracy","kap","sens","spec","f_meas","precision","recall","bal_accuracy","roc_auc","pr_auc","mn_log_loss"
"Full","Combined","Model 1","No","limited.features",0.572,0.085,0.464,0.626,0.42,0.385,0.464,0.545,0.556,0.422,0.683
"Full","Combined","Model 1","No","tuned.features",0.605,0.13,0.45,0.683,0.433,0.417,0.45,0.566,0.584,0.451,0.674
"Full","Combined","Model 2","No","all.features",0.638,0.099,0.471,0.671,0.303,0.224,0.471,0.571,0.604,0.269,0.666
"Full","Combined","Model 2","No","limited.features",0.604,0.085,0.509,0.623,0.301,0.214,0.509,0.566,0.59,0.257,0.673
"Full","Combined","Model 2","No","tuned.features",0.64,0.099,0.467,0.675,0.303,0.224,0.467,0.571,0.605,0.27,0.666
"Full","Structure","Model 1","No","all.features",0.58,0.101,0.468,0.637,0.428,0.394,0.468,0.553,0.557,0.404,0.686
"Full","Structure","Model 1","No","limited.features",0.575,0.07,0.417,0.655,0.397,0.379,0.417,0.536,0.55,0.399,0.686
"Full","Structure","Model 1","No","tuned.features",0.578,0.085,0.441,0.647,0.412,0.386,0.441,0.544,0.557,0.404,0.686
"Full","Structure","Model 2","No","all.features",0.623,0.068,0.44,0.66,0.281,0.206,0.44,0.55,0.557,0.216,0.682
"Full","Structure","Model 2","No","limited.features",0.623,0.065,0.432,0.662,0.277,0.204,0.432,0.547,0.558,0.216,0.683
"Full","Structure","Model 2","No","tuned.features",0.627,0.065,0.427,0.667,0.277,0.205,0.427,0.547,0.561,0.217,0.682
"Full","Sequence","Model 1","No","both",0.598,0.114,0.437,0.679,0.422,0.407,0.437,0.558,0.579,0.453,0.675
"Full","Sequence","Model 1","No","cdr3",0.55,0.076,0.518,0.566,0.435,0.375,0.518,0.542,0.55,0.41,0.687
"Full","Sequence","Model 1","No","full",0.607,0.111,0.397,0.713,0.404,0.411,0.397,0.555,0.581,0.441,0.676
"Full","Sequence","Model 2","No","both",0.639,0.102,0.475,0.672,0.306,0.226,0.475,0.574,0.606,0.276,0.666
"Full","Sequence","Model 2","No","cdr3",0.565,0.085,0.583,0.561,0.31,0.211,0.583,0.572,0.583,0.255,0.678
"Full","Sequence","Model 2","No","full",0.671,0.101,0.41,0.723,0.294,0.23,0.41,0.567,0.599,0.248,0.671
