"Dataset","Approach","Model","NLV","Feature","(Intercept)","avg.euc.dist","avg.kas","top.sg.median.kas","top.sg.euc.dist","avg.spearman","top.cosine.sim","kernel.count","CDR3.similarity","full.similarity"
"Full","Combined","Model 1","Yes","limited.features",-0.0108290223291683,0.0361659628092054,NA,-0.0445705690368852,NA,0.00443453560191188,NA,0.252631279452815,0.0987244013314312,NA
"Full","Combined","Model 2","Yes","all.features",-0.0445523047038217,-0.0155447451392699,0.0716554908054904,0.01912472460593,0.0444897529985905,-0.07428173559856,-0.0667667586751096,0.0957649371726702,0.203538488003781,0.169322665223091
"Full","Combined","Model 2","Yes","tuned.features",-0.0437698445202315,0,0.0691472103306863,0.0145633431193487,0.0249189566752007,-0.0630805968512542,-0.0589906400081315,0.0886943836315679,0.199291414326215,0.164892451044398
"Full","Combined","Model 2","Yes","limited.features",-0.0369542519108828,-0.00599900307588279,NA,0.0666632561575948,NA,-0.0266634199652425,NA,0.184964941539129,0.245092528157058,NA
"Full","Structure","Model 1","Yes","all.features",-0.00858055592177272,0.0389156583939741,-0.186758887366845,0.132575842171567,-0.0237670568845568,-0.023419556154483,-0.0920181095568484,0.304154203817177,NA,NA
"Full","Structure","Model 1","Yes","tuned.features",-0.00859415936384401,0.00678031776004331,-0.0815817166511842,0.0308459548494364,0,-0.0100992662435779,-0.0734018409737201,0.269170258704653,NA,NA
"Full","Structure","Model 1","Yes","limited.features",-0.00838428956997091,0.0319776092416571,NA,-0.0402168117208192,NA,0.00415706036887997,NA,0.269096886214526,NA,NA
"Full","Structure","Model 2","Yes","all.features",-0.0188018363424192,-0.0403326528170915,0.0797563614289701,0.0323072924514925,0.0416814512111007,-0.0529697265564862,-0.0555769154625258,0.223376104368749,NA,NA
"Full","Structure","Model 2","Yes","tuned.features",-0.0162802887009029,0,0.0598967145843715,7.48766383748536e-05,0,0,0,0.16118151216066,NA,NA
"Full","Structure","Model 2","Yes","limited.features",-0.0184741440128691,-0.0187786505334383,NA,0.0723422194996187,NA,-0.023990256334557,NA,0.229195963605328,NA,NA
"Full","Sequence","Model 1","Yes","both",-0.0122734588985918,NA,NA,NA,NA,NA,NA,NA,0.0699897150892423,0.234332584469521
"Full","Sequence","Model 1","Yes","cdr3",-0.00485216446690715,NA,NA,NA,NA,NA,NA,NA,0.140118394952852,NA
